Nombre,Ano
1. Francisco Pizarro,1568
2. Diego de Almagro,1541
3. Pedro de Toldeo y Valdivia,1638
4. Blasco Nuñez Vela,1543
5. Cristobal Vaca de Castro,1545
6. Andres Hurtado de Mendoza, 2nd Marquis of Cañete,1555
7. Garcí­a Hurtado de Mendoza, 4th Marquis of Cañete,1588
8. Melchor Bravo de Saravia,1609
9.Antonio de Mendoza,1549
10.Jose de Armendariz,1723
11.Jose de la Serna de Hinojosa,1821
12.Ambrosio O'Higgins,1795
13.Andres Hurtado de Mendoza,1555
14.Luis de Velasco y Castilla,1596
15.Fernando Torres y Portugal,1584
16.Francisco de Borja y Aragon,1614
17.Pedro Toledo y Leiva,1638
18.Luis Enriquez de  Guzman,1653
19.Melchor de Navarra y Rocafull,1680
20.Manuel de Oms y de Santa Pau,1704
21.Manuel Guirior,1775
22.Manuel de Amat y Junyent,1761
23.Teodoro de Croix,1783
24.Francisco Gil de Taboada,1790
25.Jose Fernando de Abascal,1804
